learner,predicted_post_cover,transition_id,programme_key,ReefID,ReefName,event_year,survey_date,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,cyc_maxHrs4mw,cot_idwmeanpertow,DISTURBANCE_TYPE,disturbance_text,predicted_change_pp,post_cover_error,change_error_pp,scheme,fold,absolute_change_error_pp
Change BRT,0.5575107106258439,815,ltmp,23-051,Wreck Island Reef (23-051),2024,2024-11-05,0.6697295842357892,0.30498058314261584,-36.47490010931734,11.6295,0.9797631868153628,0.0454611954935722,0,0,b,big hc decline  coral bleaching,-11.22188736099453,-0.25253012748322806,-25.25301274832281,forward_2024_2025,2024_2025,25.25301274832281
Change BRT,0.5969211435703728,2011,manta,21-187,U/N Reef (21-187),2024,2025-01-10,0.6246600212356924,0.3486641253272356,-27.59958959084568,7.18220338983051,0.3136770924524844,0,0,0,NA,  ,-2.7738877665319572,-0.24825701824313723,-24.825701824313725,forward_2024_2025,2024_2025,24.825701824313725
Change BRT,0.46567758634375,2389,mmp,16-054a,Fitzroy Island Reef (No 1) (16-054a),2024,2024-06-16,0.4612107630161933,0.21942723263160793,-24.178353038458535,7.66,0.589862940713534,0.529954681473679,0,1e-4,b | m,"partial bleaching during bleaching surveys Feb24 | bleaching observed during targetted bleaching surveys  coral bleaching at 2.0 m only | coral bleaching at 2.0 m only, Cyclone Jasper",0.44668233275567126,-0.24625035371214207,-24.625035371214206,forward_2024_2025,2024_2025,24.625035371214206
Change BRT,0.20217472950403692,1889,manta,19-207,Hyde Reef (19-207),2024,2024-05-13,0.548497743028163,0.44223878365323005,-10.625895937493295,9.50714285714286,0.7299065476187283,0,33,8e-4,b,DHW 9.2 to 10.15  coral bleaching,-34.63230135241261,0.24006405414919313,24.006405414919314,forward_2024_2025,2024_2025,24.006405414919314
Change BRT,0.1790432874608855,1890,manta,19-207,Hyde Reef (19-207),2024,2025-01-21,0.44223878365323005,0.4164272899503213,-2.581149370290875,9.50714285714286,0.7162796368719883,0,33,8e-4,NA,  ,-26.319549619234454,0.2373840024894358,23.738400248943577,forward_2024_2025,2024_2025,23.738400248943577
Change BRT,0.26131815680724163,2698,mmp,18-050,Lady Elliot Reef (18-050),2025,2025-05-17,0.25992233538362813,0.025973808208153,-23.39485271754751,4.95,0.494015375449396,0.0940861978177227,0,NA,f,  flood waters,0.1395821423613497,-0.23534434859908862,-23.53443485990886,forward_2024_2025,2024_2025,23.53443485990886
Change BRT,0.16825253642387755,512,ltmp,18-086,Chicken Reef (18-086),2024,2025-04-03,0.4221760679717542,0.40310444810650875,-1.907161986524547,6.32323232323232,0.43773493291083154,0,6.48529411764706,0.02,NA,  ,-25.392353154787667,0.2348519116826312,23.48519116826312,forward_2024_2025,2024_2025,23.48519116826312
Change BRT,0.2693613705424804,542,ltmp,19-131a,U/N Reef (19-131a),2024,2025-03-28,0.4562967207282716,0.5035090681241302,4.721234739585861,5.81666666666667,0.15580743050357476,0,18.8,0.0064,NA,  ,-18.693535018579123,0.23414769758164983,23.414769758164983,forward_2024_2025,2024_2025,23.414769758164983
Change BRT,0.3615334481969175,2584,mmp,17-053,Stingaree Reefs (17-053),2025,2025-05-23,0.36033387700433595,0.12946397035252072,-23.086990665181524,3.74571428571429,0.50600337840787,0.0940861978177227,0,0.0038,f,  flood waters at 2.0 m only,0.11995711925815722,-0.2320694778443968,-23.20694778443968,forward_2024_2025,2024_2025,23.20694778443968
Change BRT,0.4782114220292399,2204,manta,23-048,Broomfield Reef (23-048),2024,2024-11-04,0.581105916624201,0.24912491355726227,-33.19810030669387,11.6140740740741,0.862233938344424,0.0430566355266609,0,0,m,"Aerial bl 5 2024   DHW 11.6  coral bleaching, unknown storm",-10.289449459496108,-0.22908650847197762,-22.90865084719776,forward_2024_2025,2024_2025,22.90865084719776
