ReefID,thermal_reef_id,event_year,ann_maxdhw,history_years,dhw10_sum,dhw10_mean,dhw10_max,dhw10_n4,dhw10_n6,dhw_novel_excess,dhw_ratio_prior_max
17-063a,17-063,2024,4.91,10,24.84,2.484,8.16,3,1,0,0.6017156862745098
17-064,17-064,2024,4.45,10,24.05,2.405,7.61,3,1,0,0.5847568988173456
18-030,18-030,2024,6.72,10,26.7375,2.67375,7.4475,3,1,0,0.9023162134944612
18-032,18-032,2024,6.7,10,24.96,2.496,7.44,3,1,0,0.9005376344086021
18-034,18-034,2024,8.73,10,35.410000000000004,3.541,8.3,4,4,0.4299999999999997,1.0518072289156626
18-075,18-075,2024,5.79,10,20.56,2.056,5.8,3,0,0,0.9982758620689656
18-076,18-076,2024,6.11,10,22.495,2.2495,5.59,3,0,0.5200000000000005,1.0930232558139537
18-086,18-086,2024,6.640000000000001,10,25.419999999999998,2.542,6.463333333,4,1,0.176666667000001,1.0273336772061545
18-096,18-096,2024,4.2700000000000005,10,20.94,2.094,5.17,3,0,0,0.825918762088975
19-098,19-098,2024,3.37,10,9.06,0.9059999999999999,4.52,1,0,0,0.7455752212389382
19-131a,19-131,2024,5.82,10,12.871904761857143,1.2871904761857142,4.985714285714286,1,0,0.8342857142857145,1.1673352435530087
19-135,19-135,2024,5.28,10,14.110000000000001,1.411,5.53,1,0,0,0.9547920433996383
19-138,19-138,2024,5.78,10,13.52,1.352,5.11,1,0,0.6699999999999999,1.1311154598825832
19-159,19-159,2024,8.61,10,20.54,2.054,5.73,2,0,2.879999999999999,1.5026178010471203
19-207,19-207,2024,9.25,10,21.636666667,2.1636666666999997,6.363333333,2,1,2.886666667,1.4536406496308873
19-209,19-209,2024,11.14,10,21.4975,2.14975,6.1275,2,1,5.0125,1.818033455732354
20-014,20-014,2024,5.8500000000000005,10,25.003333334,2.5003333334,7.643333333,3,2,0,0.7653728739976177
20-104,20-104,2024,5.5600000000000005,10,12.950000000000001,1.2950000000000002,4.91,2,0,0.6500000000000004,1.1323828920570265
20-287,20-287,2024,8.14,10,24.0575,2.40575,9.43,2,2,0,0.863202545068929
20-297,20-297,2024,8.370000000000001,10,15.02,1.502,5.61,2,0,2.7600000000000007,1.4919786096256686
20-348,20-348,2024,8.39,10,11.2275,1.12275,4.8325,1,0,3.557500000000001,1.7361614071391622
20-351a,20-351,2024,8.63,10,19.869444444333332,1.9869444444333333,8.928333333333333,2,1,0,0.9665857756206834
20-351b,20-351,2024,8.63,10,19.869444444333332,1.9869444444333333,8.928333333333333,2,1,0,0.9665857756206834
20-353,20-353,2024,8.51,10,12.120000000000001,1.212,5.66,1,0,2.8499999999999996,1.5035335689045937
20-354,20-354,2024,8.24,10,11.925,1.1925000000000001,5.415,1,0,2.825,1.5216989843028625
21-025,21-025,2024,8.25,10,19.43,1.943,7.555,2,1,0.6950000000000003,1.0919920582395766
21-060,21-060,2024,8.99,10,19.65,1.965,8.85,2,1,0.14000000000000057,1.0158192090395481
21-062,21-062,2024,8.21,10,13.649999999999999,1.365,6.52,1,1,1.6900000000000013,1.2592024539877302
21-064,21-064,2024,8.82,10,15.965,1.5965,7.32,1,1,1.5,1.2049180327868851
21-139,21-139,2024,8.6,10,12.610000000000001,1.2610000000000001,5.57,1,0,3.0299999999999994,1.5439856373429084
21-187,21-187,2024,7.25,10,5.695,0.5695,2.35,0,0,4.9,3.085106382978723
21-245,21-245,2024,6.22,10,13.085,1.3085,4.8925,1,0,1.3274999999999997,1.271333673990802
21-296,21-296,2024,6.8500000000000005,10,11.385,1.1384999999999998,4.6575,1,0,2.192500000000001,1.470746108427268
21-305,21-305,2024,7.67,10,9.14,0.914,4.61,1,0,3.0599999999999996,1.6637744034707158
21-529,21-529,2024,7.19,10,9.81,0.981,3.98,0,0,3.2100000000000004,1.806532663316583
21-550,21-550,2024,7.85,10,10.5375,1.05375,5.27,1,0,2.58,1.4895635673624288
21-556,21-556,2024,8.47,10,9.83,0.983,6.8,1,1,1.6700000000000008,1.2455882352941177
21-558,21-558,2024,7.54,10,8.845,0.8845000000000001,4.7975,1,0,2.7424999999999997,1.5716519020323083
21-562,21-562,2024,9.27,10,9.1,0.91,5.98,1,0,3.289999999999999,1.5501672240802673
21-588,21-588,2024,9.33,10,8.625,0.8625,6.46,1,1,2.87,1.4442724458204335
21-591,21-591,2024,8.13,10,21.14,2.114,8.9,3,1,0,0.9134831460674158
22-084,22-084,2024,8.47,10,9.370000000000001,0.937,6.48,1,1,1.9900000000000002,1.3070987654320987
22-088a,22-088,2024,7.58,10,11.02,1.1019999999999999,4.85,1,0,2.7300000000000004,1.5628865979381446
22-102,22-102,2024,9.41,10,9.12,0.9119999999999999,6.56,1,1,2.8500000000000005,1.4344512195121952
22-104a,22-104,2024,9.08,10,9.278333333333334,0.9278333333333334,6.654333333333334,1,1,2.4256666666666664,1.3645243700846565
23-048,23-048,2024,11.6,10,12.32,1.232,6.9,1,1,4.699999999999999,1.681159420289855
23-051,23-051,2024,11.64,10,11.950000000000001,1.195,6.48,1,1,5.16,1.7962962962962963
23-055a,23-055,2024,11.53,10,11.286666666666667,1.1286666666666667,5.593333333333333,1,0,5.9366666666666665,2.0613825983313467
23-068,23-068,2024,11.17,10,12.44,1.244,8.795,1,1,2.375,1.2700397953382603
23-069,23-069,2024,11.08,10,13.285,1.3285,8.865,1,1,2.215,1.2498589960518893
23-080,23-080,2024,11.2,10,10.5525,1.05525,3.8225,0,0,7.3774999999999995,2.9300196206671028
23-081,23-081,2024,11.26,10,11.053333333,1.1053333333,4.25,1,0,7.01,2.6494117647058824
23-082a,23-082,2024,11.12,10,10.6241666665,1.06241666665,4.7666666665,1,0,6.353333333499999,2.3328671329487016
14-123,14-123,2016,7.87,10,10.66,1.066,2.1325,0,0,5.737500000000001,3.690504103165299
14-126,14-126,2016,7.76,10,10.77,1.077,2.215,0,0,5.545,3.503386004514673
14-137,14-137,2016,11.32,10,14.68,1.468,2.97,0,0,8.35,3.8114478114478114
14-138,14-138,2016,11.49,10,14.12,1.412,3.05,0,0,8.440000000000001,3.7672131147540986
