learner,scheme,event_year,transitions,observed_change_pp,severe_loss_n,severe_loss_observed_pp,severe_loss_predicted_pp,predicted_change_pp,predicted_gain_pp,predicted_loss_pp,rmse_pp
Mortality-augmented decomposed BRT,recent_year_holdout,2017,63,-7.776669411236795,18,-23.07702892591975,-11.873079106960684,-8.56320032771739,0.698560299687628,9.261760627405017,13.350831519713022
Mortality-augmented decomposed BRT,recent_year_holdout,2018,56,0.7796736658218489,1,-11.507170615456582,-3.475629034342373,0.07153550433156139,1.6765734539915256,1.605037949659964,4.157582867540457
Mortality-augmented decomposed BRT,recent_year_holdout,2019,87,1.751558821478579,3,-16.876997099648346,-0.7692536294177265,-0.03242919549670522,2.036333076943695,2.0687622724404005,6.636062731408565
Mortality-augmented decomposed BRT,recent_year_holdout,2020,98,4.265822596673907,1,-29.293304741487443,-8.145948668532576,-0.3497982509603968,1.739614457711379,2.0894127086717758,8.653860914530963
Mortality-augmented decomposed BRT,recent_year_holdout,2021,172,2.639571012729044,8,-15.957781994397392,-0.3984660637317068,-0.6476988454239099,1.7246726271566848,2.3723714725805944,8.095714009012417
Mortality-augmented decomposed BRT,recent_year_holdout,2022,184,0.630152478005479,10,-15.224099792975354,-2.076009957058303,0.9400870250800843,2.6294910930252233,1.689404067945139,5.49187363467877
Mortality-augmented decomposed BRT,recent_year_holdout,2023,161,1.9008294648574016,6,-13.057308115996177,-0.9665305908979096,0.18740027814277688,2.297750114447261,2.1103498363044837,6.251512395372358
Mortality-augmented decomposed BRT,recent_year_holdout,2024,234,-5.892317748720672,53,-21.578786471466284,-2.8668915310624317,-0.9058029564208069,2.1694191576584942,3.0752221140793017,12.079435454622844
Mortality-augmented decomposed BRT,recent_year_holdout,2025,105,-0.046068076599038714,10,-17.90738312333458,-0.14588525936610752,-0.10373560004664219,2.7237975382523203,2.8275331382989624,7.871467051639418
Mortality-augmented decomposed BRT,reef_blocked_5fold,1985,1,-1.5568301207428303,0,NA,NA,0.8811230179733454,2.577759175069701,1.696636157096357,2.4379531387161757
Mortality-augmented decomposed BRT,reef_blocked_5fold,1986,32,-3.6809601956006563,8,-18.594835191491956,-2.350507483624082,-6.286334220091244e-4,2.6757155001949995,2.676344133617008,11.57581024638361
Mortality-augmented decomposed BRT,reef_blocked_5fold,1987,38,2.1294790112465662,4,-15.414148566404593,0.5312684250468067,0.44108387095480417,3.4764654863591375,3.0353816154043334,8.587303956341138
Mortality-augmented decomposed BRT,reef_blocked_5fold,1988,38,-0.8442199475016511,5,-13.025851901558573,-3.8327207068983213,-0.19802956446917844,3.051463063078813,3.249492627547992,9.07338654289417
Mortality-augmented decomposed BRT,reef_blocked_5fold,1989,35,1.4918536691191653,1,-12.950174441194523,0.5373124411274355,0.23314639084738875,2.468126074275753,2.234979683428364,6.023265851242449
Mortality-augmented decomposed BRT,reef_blocked_5fold,1990,27,-4.120867080133415,4,-17.938779356703225,-1.04574480057531,0.6007159736556352,2.805286681197024,2.2045707075413885,8.207870166447998
Mortality-augmented decomposed BRT,reef_blocked_5fold,1991,20,2.4189934679376273,1,-25.79940523323482,2.663015540957331,0.057833515942287236,2.4824147758720367,2.4245812599297496,9.264596963331002
Mortality-augmented decomposed BRT,reef_blocked_5fold,1992,8,-3.9953107796107177,3,-13.915335729463292,-6.343482060520637,-2.2719105511701523,2.022578157978744,4.294488709148896,6.0713878430245405
Mortality-augmented decomposed BRT,reef_blocked_5fold,1993,24,-1.4080244717878514,0,NA,NA,0.6982068408783081,2.184914498680723,1.486707657802415,4.231294618069855
Mortality-augmented decomposed BRT,reef_blocked_5fold,1994,58,1.8991926914838082,1,-13.267636342843792,-1.2572699829887457,0.9644045942703847,2.5178571590284986,1.5534525647581139,5.376863911740147
Mortality-augmented decomposed BRT,reef_blocked_5fold,1995,95,2.1249234628110885,0,NA,NA,0.5628535558581315,2.2858726208415026,1.723019064983371,4.898180994234161
Mortality-augmented decomposed BRT,reef_blocked_5fold,1996,84,-0.6610467864031385,5,-19.806488323565976,-4.716990033458245,0.29047642810324936,2.1789575716444727,1.8884811435412234,6.061246033260852
Mortality-augmented decomposed BRT,reef_blocked_5fold,1997,95,0.013599714152596266,8,-15.430514423065443,-2.5150636574781586,2.0674259949367055e-4,1.9899660709303677,1.9897593283308737,6.373906600837529
Mortality-augmented decomposed BRT,reef_blocked_5fold,1998,105,1.496506811886049,5,-13.01786535504403,-1.5824938155704456,0.10198736285063842,2.1563469192451796,2.0543595563945414,6.129666880569304
Mortality-augmented decomposed BRT,reef_blocked_5fold,1999,92,-0.6456330411314184,6,-15.19168879826945,-1.244108057593063,-0.432025672709679,1.9254331794897999,2.357458852199479,5.679160050393719
Mortality-augmented decomposed BRT,reef_blocked_5fold,2000,85,-1.2502058796141375,5,-10.603614745751322,-1.3761251480540886,-0.5640342793142342,1.8140234294412503,2.3780577087554846,4.385183803948334
Mortality-augmented decomposed BRT,reef_blocked_5fold,2001,87,-0.6910350017625203,6,-15.135487448472205,-2.0880831436598393,-0.24499447709113856,1.8265349375898494,2.071529414680988,5.606088034661649
Mortality-augmented decomposed BRT,reef_blocked_5fold,2002,103,-1.706589478787448,4,-11.548235910062782,-0.14539919290139364,-0.08808955331053961,1.963172448065368,2.0512620013759078,5.1748244567602715
Mortality-augmented decomposed BRT,reef_blocked_5fold,2003,95,-0.5517664067297324,2,-12.953384379844707,-1.858992874334961,0.36776606203280243,1.9085757566276667,1.5408096945948642,4.215600811418306
Mortality-augmented decomposed BRT,reef_blocked_5fold,2004,87,0.6235092126425372,4,-13.821501239484842,-0.21382886188630046,1.0177360531416928,2.406076708460598,1.3883406553189048,4.98960791154343
Mortality-augmented decomposed BRT,reef_blocked_5fold,2005,51,-0.1687523799193932,1,-12.898016959730937,-0.4237406180314096,0.7353909336878701,2.1638809742325127,1.4284900405446428,4.198379172333192
Mortality-augmented decomposed BRT,reef_blocked_5fold,2006,99,-1.1996662094802113,10,-24.009306006270776,-3.695973607481932,-0.05186729181205766,1.9628872793242538,2.014754571136311,8.547059519068485
Mortality-augmented decomposed BRT,reef_blocked_5fold,2007,70,-0.36380069733114134,5,-13.06248437261103,-4.683045337640985,0.21613982456105374,2.2396402888355724,2.0235004642745182,4.931378001280342
Mortality-augmented decomposed BRT,reef_blocked_5fold,2008,61,0.29764461198947656,3,-39.373474571205975,-2.200267508967387,0.7527234084497344,2.33129569716186,1.5785722887121247,10.388427952776299
Mortality-augmented decomposed BRT,reef_blocked_5fold,2009,73,-0.13608703275011916,3,-18.794851531296047,-1.7286961007155617,-0.026629085540271963,2.1583213488336246,2.1849504343738966,5.961414648195516
Mortality-augmented decomposed BRT,reef_blocked_5fold,2010,63,-1.9178114402032216,5,-14.220780189626593,-0.7486667077602853,-0.18872660104042863,2.218903167667762,2.407629768708191,6.190213100524816
Mortality-augmented decomposed BRT,reef_blocked_5fold,2011,54,-6.464348921368537,14,-19.851339006797673,-3.584820002582777,-0.9934816972053695,1.7967690408236199,2.7902507380289894,10.30410863401452
Mortality-augmented decomposed BRT,reef_blocked_5fold,2012,53,0.6640126323120159,1,-11.767382212643446,-2.9880506033574505,0.4365817672915034,1.810770757323606,1.374188990032103,4.5679407043662295
Mortality-augmented decomposed BRT,reef_blocked_5fold,2013,51,-0.16839799927860727,4,-21.50484457810506,-7.303958705669672,-0.11360086519207042,1.7782682255691118,1.8918690907611821,6.1541790301876205
