learner,scheme,transitions,post_cover_rmse_pp,post_cover_mae_pp,change_rmse_pp,change_mae_pp,change_bias_pp,change_predictive_r2,direction_accuracy,severe_loss_n,severe_loss_mae_pp,severe_loss_bias_pp,programme_key
Modifier-rich decomposed BRT,reef_blocked_5fold,3089,6.761150547532807,4.595262083762482,6.761150547532806,4.595262083762482,0.05831279808328245,0.20877132284633282,0.6205891874393007,234,13.741527901762911,13.511577573825038,all
Mortality-augmented decomposed BRT,forward_2024_2025,339,11.218204150270008,7.512414144734159,11.21820415027001,7.5124141447341595,2.945882575849429,-0.1735573595529849,0.5250737463126843,63,19.3013726970752,17.853702103884384,all
Mortality-augmented decomposed BRT,recent_year_holdout,1215,8.564539494550981,5.737496660478559,8.564539494550981,5.737496660478559,-0.2673766109749317,0.020734843937706193,0.5835390946502058,114,17.243163104862308,16.05502038580088,all
Mortality-augmented decomposed BRT,reef_blocked_5fold,3089,6.788934986299131,4.620560793768902,6.78893498629913,4.620560793768902,0.009305124880461101,0.2022549718044634,0.621236646163807,234,13.808011000030877,13.360217001415345,all
Persistence,forward_2024_2025,339,11.130828337258599,7.0331984263991885,11.130828337258599,7.0331984263991885,4.08153245204583,-0.15534745792315108,0.0058997050147492625,63,20.9960240352549,20.9960240352549,all
Persistence,recent_year_holdout,1215,8.659689768269468,5.571229061751977,8.659689768269468,5.571229061751977,0.29284406969174365,-0.001144893622919474,0.0016460905349794238,114,19.708396312958577,19.708396312958577,all
Persistence,reef_blocked_5fold,3089,7.606341526030068,4.965174619167407,7.606341526030068,4.965174619167408,0.28553921044072267,-0.0014112121775204933,6.474587245063128e-4,234,18.402358898632006,18.402358898632006,all
Post-cover BRT,forward_2024_2025,339,12.152289845270865,8.624551820025964,12.152289845270863,8.624551820025964,1.1452885070707324,-0.37712664710561006,0.5339233038348082,63,18.43001272341719,16.13812807581033,all
Post-cover BRT,recent_year_holdout,1215,9.360708409291,6.32529193508616,9.360708409291,6.325291935086159,-0.9090399511744718,-0.1697948442916528,0.5555555555555556,114,17.288464459899572,15.956381734854599,all
Post-cover BRT,reef_blocked_5fold,3089,6.988440277591043,4.845109431900693,6.988440277591043,4.845109431900694,-0.14130930313448975,0.15467965235289682,0.5988993201683392,234,13.677062784551676,13.183154463970332,all
Change BRT,forward_2024_2025,80,11.994603045963478,8.68247964993056,11.99460304596348,8.68247964993056,-2.0318391101750284,-0.7535618890047049,0.55,6,23.611228229206283,17.512958699615645,ltmp
Change BRT,forward_2024_2025,139,13.450289016572883,10.478940244415455,13.450289016572885,10.478940244415455,-0.15047596756176282,-0.4996735242559307,0.5179856115107914,36,15.989568598201211,13.05509152724091,manta
Change BRT,forward_2024_2025,120,10.281979745398663,6.1539541034786645,10.281979745398663,6.1539541034786645,4.077857830860416,0.019320417960522418,0.5833333333333334,21,19.645037723974948,19.645037723974948,mmp
Change BRT,recent_year_holdout,304,7.7478442490810195,5.2026474303810595,7.7478442490810195,5.202647430381059,-0.7068938693049373,-0.1594718940332207,0.6217105263157895,20,16.297538118469543,14.485862225782645,ltmp
Change BRT,recent_year_holdout,443,10.43036134218265,7.947444026013363,10.430361342182648,7.947444026013363,-1.6596049316548052,-0.16295333757969277,0.5417607223476298,55,16.000314156470157,14.479992429763339,manta
Change BRT,recent_year_holdout,468,8.712958737481976,5.1496323454604065,8.712958737481978,5.1496323454604065,0.04835470594580212,-0.06212356980239786,0.532051282051282,39,19.834592439404744,19.589190618827605,mmp
Change BRT,reef_blocked_5fold,867,5.897135005427229,3.9746380150950897,5.897135005427229,3.9746380150950897,-0.3222415711099616,0.22841521053417813,0.6032295271049596,48,13.828931961708491,13.674360626079043,ltmp
Change BRT,reef_blocked_5fold,1416,7.146722065947824,5.194285678916054,7.146722065947824,5.194285678916055,0.07237726042301665,0.1369887935587557,0.625,116,12.60156270921229,12.091396183826593,manta
Change BRT,reef_blocked_5fold,806,7.722687263156463,4.9677551604288075,7.7226872631564625,4.9677551604288075,-0.41309186598153147,0.12485182523355376,0.575682382133995,70,15.537400671731648,14.818074798526709,mmp
Core decomposed BRT,forward_2024_2025,80,8.319194757005748,4.841258517553433,8.319194757005748,4.841258517553433,2.572404008778966,0.1564478794572458,0.4875,6,23.495495980035074,23.495495980035074,ltmp
