programme_key,learner,composition,prop_acropora_pre,observed_pre_cover,ann_maxdhw,occurrence,positive,mortality,q05,q95,outside_tree_support,observed_dhw_max
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,11,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,11.25,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,11.5,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,11.75,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,12,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,12.25,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,12.5,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,12.75,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,13,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,13.25,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,13.5,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,13.75,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,shape_brt,Typical,0.26586271071453776,0.2277634256800129,14,0.5631237474322545,0.1377673546034389,0.07758006899811676,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,0,0.7370970553770921,0.11810812404575137,0.07342163268289947,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,0.25,0.739729026555727,0.12067035137862103,0.07530728945615535,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,0.5,0.742382591005321,0.1233573649617738,0.0772912068633898,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,0.75,0.7450558244030814,0.1261717254164164,0.07937654801302092,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,1,0.7477466747368957,0.12911520092921164,0.08156602404244165,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,1.25,0.7504529641828441,0.13218868230837502,0.08386181986531505,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,1.5,0.753172391875518,0.13539211158777226,0.0862655250288364,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,1.75,0.7559025376808454,0.13872442810873375,0.0887780726701255,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,2,0.7586408671007265,0.14218353587407268,0.09139968965846065,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,2.25,0.7613847374549308,0.14576629554473663,0.09412986090755955,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,2.5,0.7641314054945818,0.14946854369949336,0.09696731050761671,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,2.75,0.766878036598813,0.15328514089536238,0.09991000174918557,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,3,0.7696217156872662,0.15721004868487523,0.10295515730436097,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,3.25,0.770952605620689,0.16123643414205138,0.1060358763104248,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,3.5,0.7733017488042633,0.16535679873309728,0.10925777422322358,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,3.75,0.7760184785941262,0.17040629898618898,0.11340982830734972,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,4,0.7783394334543078,0.1754715763242087,0.11756799549303144,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,4.25,0.7668917763682865,0.1807084776902609,0.12120384824768587,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,4.5,0.7610578759988585,0.193116373625697,0.131711187899977,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,4.75,0.7639913040102406,0.19878872060131975,0.13648098897492564,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,5,0.7654055178614265,0.20343317795847488,0.14021599007353205,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,5.25,0.7663260428143314,0.2088075501166371,0.1446080759068401,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,5.5,0.7661987222134785,0.22087195992626582,0.15502787004724122,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,5.75,0.7606795801254441,0.22579305223462875,0.15842384622092687,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,6,0.759664077448954,0.2339354852848126,0.1650979051326395,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,6.25,0.762097107588412,0.240497296248913,0.17071717326790892,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,6.5,0.7662795146857749,0.24541832181015283,0.17509185950866196,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,6.75,0.7690720451604642,0.24985842117987217,0.17891055565296635,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,7,0.7751238026856718,0.2525519584203273,0.18151706142885604,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,7.25,0.7939046412508889,0.25745423905781883,0.18737366762936217,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,7.5,0.8078657606438889,0.26367869744873673,0.19403091056928973,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,7.75,0.808990426550584,0.2686558693953158,0.19820933941636468,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,8,0.8120720609359529,0.2747512852572612,0.20367600154723128,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,8.25,0.8163105493321364,0.27975715707589704,0.20822731676011474,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,8.5,0.825141840914008,0.284916930376552,0.21341980947613914,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,8.75,0.8269502574027453,0.29376233662487755,0.221509717975517,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,9,0.8280281944195493,0.29925574952027756,0.22622736125186774,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,9.25,0.8304826957503688,0.30445002041840696,0.23081862033620343,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,9.5,0.8325547060954808,0.3137174667875808,0.23938586530478773,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,9.75,0.8342716939371293,0.31899163979045736,0.243995289345081,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,10,0.8364432700010016,0.3253654782796766,0.2497587110164277,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,10.25,0.838813339741689,0.332608973877205,0.25642497025950306,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,10.5,0.8421926525336874,0.3365393488301164,0.2599690096008762,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,10.75,0.8436956115977383,0.3442341779323425,0.26701972279073916,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,11,0.8451468076337678,0.3482320462293722,0.2704207501365407,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,11.25,0.8465471345423876,0.353315528862888,0.2749148870603889,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,11.5,0.8478975633467525,0.3583226061019094,0.2793517033314632,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,11.75,0.8491991309252618,0.36324244620762813,0.28372163367851144,NA,NA,NA,NA
ltmp,benchmark_ensemble,Acropora dominated,0.9,0.55,12,0.8504529293681726,0.3680657951280371,0.2880163238525463,NA,NA,NA,NA
