Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,storm_name,description,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (LTMP),Lizard Island Reef (North West) (14-116a),LIZARD ISLES,14-116a,CL,Northern,_,9,2017,2016,2016-12-13,0.08595567292420517,0.06661130690834785,-0.019344366015857317,-0.08080068946957658,-0.5444350284448791,0.5444350284448791,8.9325,m,Nathan,Nathan and bleaching 2016,8.6,6.7,-1.9,-8.1,54.4,8.93
Benthic Photo (MMP),Tobias Spit (17-009a),HIGH ISLAND,17-009a,IN,Central,East,2,2024,2024,2024-06-15,0.3552809499113012,0.1601073468744418,-0.1951736030368594,-0.19162219986044923,-0.5432553117090332,0.5432553117090332,6.32,m,NA,clear depth limit to level of mortality,35.5,16,-19.5,-19.2,54.3,6.32
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,2,2024,2024,2024-05-12,0.49687349743235776,0.22997353185720512,-0.2668999655751526,-0.2720457807351352,-0.5408257176710192,0.5408257176710192,12.47,b,NA,bleaching still evident at time of surveys,49.7,23,-26.7,-27.2,54.1,12.47
Manta Tow (LTMP),Hedley Reef (17-014),HEDLEY REEF,17-014,IN,Central,_,9,2018,2017,2018-02-18,0.1263368767422845,0.07551689777057445,-0.05081997897171005,-0.08963544226685627,-0.5394774593404055,0.5394774593404055,7.98,b,NA,"0+ bleaching, disease, Drupella and low numbers of COTS, 2016/17 summer bleaching",12.6,7.6,-5.1,-9,53.9,7.98
Manta Tow (LTMP),Credlin Reefs (East) (20-287),CREDLIN REEF EAST,20-287,PO,Southern,_,9,2003,2002,2002-09-21,0.30418105900180065,0.15348385325943903,-0.15069720574236162,-0.17955489912308398,-0.5375271516924703,0.5375271516924703,6.5175,m,NA,"COTS, bleaching",30.4,15.3,-15.1,-18,53.8,6.52
Manta Tow (LTMP),Horseshoe Reef (No 1) (22-104a),HORSESHOE REEF,22-104a,SW,Southern,_,9,2021,2020,2020-09-07,0.08991300952928293,0.09042595100089959,5.129414716166653e-4,-0.105607159838481,-0.5359868673269382,0.5359868673269382,6.608,NA,NA,NA,9,9,0.1,-10.6,53.6,6.61
Benthic Photo (LTMP),Lady Musgrave Reef (23-082a),LADY MUSGRAVE ISLAND,23-082a,CB,Southern,_,9,2025,2024,2024-11-07,0.6333792303847722,0.28975171899340113,-0.34362751139137104,-0.33193059586506046,-0.5330657189782397,0.5330657189782397,11.195,m,NA,b s 34% decline hc abs 55% decline rel,63.3,29,-34.4,-33.2,53.3,11.2
Manta Tow (LTMP),Yonge Reef (14-138),YONGE REEF,14-138,CL,Northern,_,9,2017,2016,2016-12-15,0.14657645832514998,0.11807099992527438,-0.028505458399875602,-0.13408526120363617,-0.5296541377475873,0.5296541377475873,11.36,m,NA,"bleaching mortality, storm dmage",14.7,11.8,-2.9,-13.4,53,11.36
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,5,2024,2024,2024-05-12,0.27456883183503955,0.13594107109759657,-0.13862776073744298,-0.15313434578497936,-0.5279121803243636,0.5279121803243636,12.47,b,NA,bleaching still evident at time of surveys,27.5,13.6,-13.9,-15.3,52.8,12.47
Benthic Photo (LTMP),Grub Reef (18-077),GRUB REEF (18-077),18-077,TO,Central,_,9,2018,2017,2018-04-22,0.11562180656137903,0.07544154737666901,-0.04018025918471002,-0.08430941888665394,-0.5244722370660488,0.5244722370660488,5.55,b,NA,DHW 2017>4,11.6,7.5,-4,-8.4,52.4,5.55
Benthic Photo (LTMP),Wreck Island Reef (23-051),WRECK ISLAND,23-051,CB,Southern,_,9,2025,2024,2024-11-05,0.6697295842357892,0.30498058314261584,-0.3647490010931734,-0.3345318470964379,-0.5222878297171891,0.5222878297171891,11.64,b,NA,big hc decline,67,30.5,-36.5,-33.5,52.2,11.64
Manta Tow (LTMP),Eyrie Reef (14-118),EYRIE REEF,14-118,CL,Northern,_,9,2025,2024,2024-10-02,0.32029059765378537,0.15192250536021698,-0.1683680922935684,-0.1665686590367488,-0.5213560736527545,0.5213560736527545,6.27,b,NA,DHW 6.27 to 6.32,32,15.2,-16.8,-16.7,52.1,6.27
Manta Tow (LTMP),St Crispin Reef (16-019),ST. CRISPIN REEF,16-019,CA,Central,_,9,2017,2016,2016-09-14,0.19884073261590862,0.10533824585422165,-0.09350248676168697,-0.11565702558882703,-0.5209886897005283,0.5209886897005283,5.895,b,NA,bleaching mortality- HC and particularly SC,19.9,10.5,-9.4,-11.6,52.1,5.89
Manta Tow (LTMP),U/N Reef (19-131a),REEF 19-131,19-131a,WH,Southern,_,9,2003,2002,2002-12-05,0.18131386696688748,0.1061327410374464,-0.07518112592944108,-0.11629032075133518,-0.5204938103537095,0.5204938103537095,2.62,b,NA,Bleaching summer of 2001/2002 Feb? surveyed dec 02,18.1,10.6,-7.5,-11.6,52,2.62
Manta Tow (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2017,2016,2016-12-16,0.06814622269011046,0.05637554371010845,-0.01177067898000201,-0.06168892403814332,-0.518113633771727,0.518113633771727,8.83,m,Nathan,Cyclone Nathan,6.8,5.6,-1.2,-6.2,51.8,8.83
Manta Tow (LTMP),Lizard Island Reef (North West) (14-116a),LIZARD ISLES,14-116a,CL,Northern,_,9,2017,2016,2016-12-14,0.07899375578330274,0.06737739677254607,-0.011616359010756666,-0.07323467369983243,-0.5171499396593943,0.5171499396593943,8.9325,m,NA,"bleaching in sector, COTS, storm damage",7.9,6.7,-1.2,-7.3,51.7,8.93
Benthic Photo (MMP),Pelorus (North Palm or Yanooa) Reef (18-048),PELORUS IS AND ORPHEUS IS WEST,18-048,TO,Central,West,2,2018,2018,2018-05-11,0.07306422176420217,0.052395836052346496,-0.020668385711855676,-0.056118406707080126,-0.5124302126651891,0.5124302126651891,0,NA,NA,NA,7.3,5.2,-2.1,-5.6,51.2,0
Manta Tow (LTMP),Hastings Reef (16-057),HASTINGS REEF,16-057,CA,Central,_,9,2018,2017,2017-12-14,0.1766648481995503,0.0989378581488984,-0.07772699005065191,-0.10375210212098106,-0.5093628668959161,0.5093628668959161,10.37333333,b,NA,"bleaching mortality- HC, COTS removal",17.7,9.9,-7.8,-10.4,50.9,10.37
Manta Tow (LTMP),One Tree Island Reef (23-055a),ONE TREE ISLAND,23-055a,CB,Southern,_,9,2025,2024,2024-11-06,0.6064749895445039,0.2967154689292574,-0.3097595206152465,-0.3046056063580744,-0.505719654941121,0.505719654941121,11.53,m,NA,Aerial bl 4 2024  DHW 11.81,60.6,29.7,-31,-30.5,50.6,11.53
Manta Tow (LTMP),Ribbon No 6 Reef (15-032),RIBBON REEF NO.6,15-032,CL,Northern,_,9,2017,2016,2016-12-17,0.23938170283476656,0.14008332246739882,-0.09929838036736774,-0.14358649404301677,-0.5043966227370058,0.5043966227370058,8.0675,m,NA,"Storm damage, bleaching",23.9,14,-9.9,-14.4,50.4,8.07
