Method,ReefName,Reef_Name,ReefID,SECTOR,Region,reef_zone,depth,report_year,DHWYear,Date,Prev.HC,mean,Change,Abs.Change,Rel.Change,Mort.prop,MaxDHW.mean,DISTURBANCE_TYPE,Pre_Cover_Pct,Post_Cover_Pct,Net_Change_Pct,Growth_Adj_Loss_Pct,Mortality_Pct,MaxDHW
Benthic Photo (MMP),Shute Reef (20-048),SHUTE ISLAND AND TANCRED ISLAND,20-048,WH,Southern,_,5,2017,2017,2017-07-06,0.2761897090166566,0.1340023293482837,-0.14218737966837292,-0.17404331495010997,-0.5631637855476955,0.5631637855476955,6.115,NA,27.6,13.4,-14.2,-17.4,56.3,6.12
Benthic Photo (MMP),Daydream Reef (No 1) (20-035a),DAYDREAM ISLAND,20-035a,WH,Southern,_,5,2018,2018,2018-06-14,0.041395876644934014,0.03163623733023158,-0.009759639314702431,-0.041993818653716444,-0.5626931147251019,0.5626931147251019,0,NA,4.1,3.2,-1,-4.2,56.3,0
Benthic Photo (MMP),Seaforth Reef (20-095),SEAFORTH ISLAND,20-095,WH,Southern,_,5,2017,2017,2017-06-29,0.10345529235172592,0.08409720467538287,-0.019358087676343047,-0.10726656563152133,-0.5576235351406573,0.5576235351406573,5.98,NA,10.3,8.4,-1.9,-10.7,55.8,5.98
Benthic Photo (LTMP),Havannah Reef (18-065),HAVANNAH ISLAND,18-065,TO,Central,North,9,2021,2020,2021-04-06,0.18388524505970671,0.11146997516988934,-0.07241526988981738,-0.14004963027960127,-0.5546089383052447,0.5546089383052447,8.18,NA,18.4,11.1,-7.2,-14,55.5,8.18
Benthic Photo (MMP),Barren Island Reef (22-009),BARREN ISLAND,22-009,CB,Southern,_,2,2024,2024,2024-05-12,0.5916565683895456,0.2598804032895316,-0.331776165100014,-0.32282240383590355,-0.5530595362830427,0.5530595362830427,11.06,NA,59.2,26,-33.2,-32.3,55.3,11.06
Benthic Photo (MMP),Pine Island Reef (20-061),PINE ISLAND,20-061,WH,Southern,_,5,2017,2017,2017-07-05,0.3924191986290442,0.18321868138667083,-0.20920051724237335,-0.22520289302978763,-0.5500513580672085,0.5500513580672085,5.99,NA,39.2,18.3,-20.9,-22.5,55,5.99
Benthic Photo (LTMP),Tern Reef (20-309),TERN ISLAND,20-309,PO,Southern,_,9,2018,2017,2018-03-17,0.2727779357195451,0.14295959779072398,-0.12981833792882114,-0.17579174670242298,-0.5497764113582659,0.5497764113582659,4.11,n,27.3,14.3,-13,-17.6,55,4.11
Manta Tow (LTMP),Feather Reef (17-034),FEATHER REEF,17-034,IN,Central,_,9,2018,2017,2018-02-20,0.21829571306814705,0.10729321712116137,-0.11100249594698568,-0.1312952800362136,-0.548003270582609,0.548003270582609,8.91,b,21.8,10.7,-11.1,-13.1,54.8,8.91
Benthic Photo (MMP),Middle (Ba-la-ba) Island Reef (23-010),MIDDLE ISLAND,23-010,CB,Southern,_,2,2024,2024,2024-05-11,0.19386016389011806,0.094141417582425,-0.09971874630769306,-0.1149929825956224,-0.547235400287571,0.547235400287571,12.23,NA,19.4,9.4,-10,-11.5,54.7,12.23
Manta Tow (LTMP),Hoskyn Islands Reef (23-080),HOSKYN ISLAND,23-080,CB,Southern,_,9,2025,2024,2024-11-09,0.6184300829752357,0.2796426122542491,-0.33878747072098664,-0.33679134328879173,-0.5454694227054286,0.5454694227054286,11.385,NA,61.8,28,-33.9,-33.7,54.5,11.38
Manta Tow (LTMP),Havannah Reef (18-065),HAVANNAH ISLAND,18-065,TO,Central,_,9,1999,1999,1999-05-01,0.15675834333087105,0.0879874646464947,-0.06877087868437634,-0.10642278114283693,-0.5446120837367425,0.5446120837367425,0.49,b,15.7,8.8,-6.9,-10.6,54.5,0.49
Benthic Photo (MMP),Middle (Ba-la-ba) Island Reef (23-010),MIDDLE ISLAND,23-010,CB,Southern,_,2,2025,2024,2025-04-21,0.094141417582425,0.04823208468649456,-0.045909332895930445,-0.058681033402472244,-0.5437803525804328,0.5437803525804328,12.23,NA,9.4,4.8,-4.6,-5.9,54.4,12.23
Benthic Photo (MMP),Tobias Spit (17-009a),HIGH ISLAND,17-009a,IN,Central,East,2,2024,2024,2024-06-15,0.3552809499113012,0.1601073468744418,-0.1951736030368594,-0.19162219986044923,-0.5432553117090332,0.5432553117090332,6.32,NA,35.5,16,-19.5,-19.2,54.3,6.32
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,2,2024,2024,2024-05-12,0.49687349743235776,0.22997353185720512,-0.2668999655751526,-0.2720457807351352,-0.5408257176710192,0.5408257176710192,12.47,NA,49.7,23,-26.7,-27.2,54.1,12.47
Manta Tow (LTMP),Hedley Reef (17-014),HEDLEY REEF,17-014,IN,Central,_,9,2018,2017,2018-02-18,0.1263368767422845,0.07551689777057445,-0.05081997897171005,-0.08963544226685627,-0.5394774593404055,0.5394774593404055,7.98,b,12.6,7.6,-5.1,-9,53.9,7.98
Manta Tow (LTMP),Credlin Reefs (East) (20-287),CREDLIN REEF EAST,20-287,PO,Southern,_,9,2003,2002,2002-09-21,0.30418105900180065,0.15348385325943903,-0.15069720574236162,-0.17955489912308398,-0.5375271516924703,0.5375271516924703,6.5175,b,30.4,15.3,-15.1,-18,53.8,6.52
Manta Tow (LTMP),Horseshoe Reef (No 1) (22-104a),HORSESHOE REEF,22-104a,SW,Southern,_,9,2021,2020,2020-09-07,0.08991300952928293,0.09042595100089959,5.129414716166653e-4,-0.105607159838481,-0.5359868673269382,0.5359868673269382,6.608,NA,9,9,0.1,-10.6,53.6,6.61
Benthic Photo (MMP),Pelorus (North Palm or Yanooa) Reef (18-048),PELORUS IS AND ORPHEUS IS WEST,18-048,TO,Central,West,2,2025,2025,2025-05-16,0.09252394997481067,0.05987468544823029,-0.03264926452658038,-0.07008778984981948,-0.535174596313263,0.535174596313263,NA,NA,9.3,6,-3.3,-7,53.5,NA
Benthic Photo (LTMP),Lady Musgrave Reef (23-082a),LADY MUSGRAVE ISLAND,23-082a,CB,Southern,_,9,2025,2024,2024-11-07,0.6333792303847722,0.28975171899340113,-0.34362751139137104,-0.33193059586506046,-0.5330657189782397,0.5330657189782397,11.195,NA,63.3,29,-34.4,-33.2,53.3,11.2
Benthic Photo (MMP),Humpy (Bur-ye-Bur-ye) Reef (23-016),HUMPY ISLAND AND HALFWAY ISLAND,23-016,CB,Southern,_,5,2024,2024,2024-05-12,0.27456883183503955,0.13594107109759657,-0.13862776073744298,-0.15313434578497936,-0.5279121803243636,0.5279121803243636,12.47,NA,27.5,13.6,-13.9,-15.3,52.8,12.47
Benthic Photo (LTMP),Grub Reef (18-077),GRUB REEF (18-077),18-077,TO,Central,_,9,2018,2017,2018-04-22,0.11562180656137903,0.07544154737666901,-0.04018025918471002,-0.08430941888665394,-0.5244722370660488,0.5244722370660488,5.55,n,11.6,7.5,-4,-8.4,52.4,5.55
Benthic Photo (LTMP),Wreck Island Reef (23-051),WRECK ISLAND,23-051,CB,Southern,_,9,2025,2024,2024-11-05,0.6697295842357892,0.30498058314261584,-0.3647490010931734,-0.3345318470964379,-0.5222878297171891,0.5222878297171891,11.64,NA,67,30.5,-36.5,-33.5,52.2,11.64
Manta Tow (LTMP),Eyrie Reef (14-118),EYRIE REEF,14-118,CL,Northern,_,9,2025,2024,2024-10-02,0.32029059765378537,0.15192250536021698,-0.1683680922935684,-0.1665686590367488,-0.5213560736527545,0.5213560736527545,6.27,NA,32,15.2,-16.8,-16.7,52.1,6.27
Manta Tow (LTMP),St Crispin Reef (16-019),ST. CRISPIN REEF,16-019,CA,Central,_,9,2017,2016,2016-09-14,0.19884073261590862,0.10533824585422165,-0.09350248676168697,-0.11565702558882703,-0.5209886897005283,0.5209886897005283,5.895,b,19.9,10.5,-9.4,-11.6,52.1,5.89
Manta Tow (LTMP),U/N Reef (19-131a),REEF 19-131,19-131a,WH,Southern,_,9,2003,2002,2002-12-05,0.18131386696688748,0.1061327410374464,-0.07518112592944108,-0.11629032075133518,-0.5204938103537095,0.5204938103537095,2.62,b,18.1,10.6,-7.5,-11.6,52,2.62
Manta Tow (LTMP),North Direction Reef (14-143),NORTH DIRECTION ISLAND,14-143,CL,Northern,_,9,2017,2016,2016-12-16,0.06814622269011046,0.05637554371010845,-0.01177067898000201,-0.06168892403814332,-0.518113633771727,0.518113633771727,8.83,n,6.8,5.6,-1.2,-6.2,51.8,8.83
Benthic Photo (MMP),Pelorus (North Palm or Yanooa) Reef (18-048),PELORUS IS AND ORPHEUS IS WEST,18-048,TO,Central,West,2,2018,2018,2018-05-11,0.07306422176420217,0.052395836052346496,-0.020668385711855676,-0.056118406707080126,-0.5124302126651891,0.5124302126651891,0,NA,7.3,5.2,-2.1,-5.6,51.2,0
Manta Tow (LTMP),Hastings Reef (16-057),HASTINGS REEF,16-057,CA,Central,_,9,2018,2017,2017-12-14,0.1766648481995503,0.0989378581488984,-0.07772699005065191,-0.10375210212098106,-0.5093628668959161,0.5093628668959161,10.37333333,b,17.7,9.9,-7.8,-10.4,50.9,10.37
