ann_maxdhw,scenario,programme_key,prop_acropora_pre,dhw_novelty10,log_coastal_rain30,wqc_prior10_percentile,cloudp_90,predicted_occurrence,predicted_positive_mortality,predicted_mortality,tail_probability,tail_magnitude,conservative_prediction,soft_gate_prediction,aggressive_prediction,observed_dhw_min,observed_dhw_max,outside_observed_dhw
5.5,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.12769775875405603,0.08186096401303646,0.010453461633911192,0.018145975182820358,0.3805456551504965,0.013811303513364945,0.017169145392818698,0.060307469830823364,0,11.64,FALSE
5.5,Median conditions,mmp,0.26474033381659684,2.69,5.972340602952214,0.3,0.6970374,0.34392311595857633,0.06017483935218652,0.020695518252310745,0.03318118828540765,0.44691346963707834,0.027766727300070092,0.034837936347829446,0.09833411991603758,4.12,13.26,FALSE
5.5,High compound risk,ltmp,0.6708836309552813,4.178000000000001,6.662192357426267,1,0.5630638,0.49364396636362323,0.2562063614998969,0.1264747244984014,0.8340449670634321,0.5137169835097767,0.2879634530797572,0.449452181661113,0.48012783154178384,0,11.64,FALSE
5.5,High compound risk,manta,0.668629531002006,4.182,6.543540226424666,1,0.54024335,0.5178660286744752,0.36781607897919244,0.1904794521035715,0.6929337536393784,0.4698070496183169,0.2872572124240525,0.38403497274453346,0.42299912560746156,0,11.64,FALSE
5.5,High compound risk,mmp,0.8817916436590687,8.18,6.812168274251864,0.8,0.6265433,0.6161346265919802,0.42729672924773576,0.2632723107190281,0.2214824281781939,0.5354567400494331,0.2934143448792252,0.32355637903942225,0.3913675281687894,4.12,13.26,FALSE
5.75,Low compound risk,ltmp,0.04416278783401122,-4.960000000000001,5.293126064302306,0.2,0.87140842,0.42110471377113506,0.017122396660535267,0.007210321944810543,0.00915679010053366,0.3968490575082747,0.008994242003106534,0.010778162061402523,0.04449528824118128,0,11.64,FALSE
5.75,Low compound risk,manta,0.08205185222328912,-5.005,5.04829112437769,0.2,0.8638448679999999,0.3266890823765282,0.038864285744470595,0.012696537847080285,0.007958555597908954,0.34987624518847726,0.014038269570761874,0.015380001294443463,0.04277658804390098,0,11.64,FALSE
5.75,Low compound risk,mmp,0.04961985378338604,-3.96,5.3548966285573405,0,0.8873663,0.2918266862441498,0.016099098377532456,0.004698146531033866,0.006509074762053597,0.3966410774527428,0.005973739450947772,0.007249332370861678,0.03631964642253291,4.12,13.26,FALSE
5.75,Median conditions,ltmp,0.2688625059919296,-0.31,5.985742071087043,0.45,0.7154463,0.12402004142889626,0.0635908344964489,0.007886537928747677,0.013190421508244421,0.4238237286672117,0.010629731362145376,0.013372924795543074,0.055656741410408515,0,11.64,FALSE
5.75,Median conditions,manta,0.27908342553874005,-0.44499999999999995,5.909006224011357,0.45,0.6959865000000001,0.1319593429905268,0.08136811501613819,0.010737282997907214,0.018618146773175883,0.38396588207682575,0.014211695416706275,0.017686107835505338,0.061663702068773966,0,11.64,FALSE
