programme_key,source_observation_id,ReefID,ReefName,event_year,ann_maxdhw,observed_mortality,Standard two-part BRT,Conservative tail ensemble,standard_absolute_error,conservative_absolute_error,error_reduction
ltmp,4241313,12-056,Mantis Reef (12-056),2024,8.73,0.1187941519452774,0.00906607777247392,0.01558587062977794,0.10972807417280347,0.10320828131549946,0.006519792857304016
ltmp,4238621,21-305,East Cay Reef (21-305),2024,7.67,0.17436133243673674,0.12941928043854437,0.1357764919361506,0.04494205199819237,0.03858484050058614,0.0063572114976062355
manta,4284380,21-305,East Cay Reef (21-305),2024,7.67,0.2779171356313509,0.16280607688637153,0.16909625543201112,0.11511105874497937,0.10882088019933978,0.0062901785456395964
manta,4284588,21-558,U/N Reef (21-558),2024,7.54,0.25960430422350816,0.0899895419861087,0.09616619114777224,0.16961476223739946,0.1634381130757359,0.00617664916166355
ltmp,4179549,16-057,Hastings Reef (16-057),2016,5.29,0.19841124810294208,0.05774637064401627,0.06377592234183835,0.1406648774589258,0.13463532576110374,0.006029551697822072
ltmp,4186339,22-102,Chinaman Reef (22-102),2024,9.41,0.1549831580635079,0.02925967057940529,0.03507124775559519,0.12572348748410261,0.1199119103079127,0.005811577176189908
ltmp,4239591,18-032,Rib Reef (18-032),2016,2.5,0.22877522516888116,0.00331133647012413,0.00899414759132937,0.22546388869875703,0.21978107757755178,0.00568281112120525
manta,4284517,23-069,Mast Head Reef (23-069),2020,8.870000000000001,0.19578202558213337,0.17260359420651974,0.17820063018094903,0.023178431375613623,0.017581395401184335,0.0055970359744292875
ltmp,4224608,21-558,U/N Reef (21-558),2024,7.54,0.1884063959137199,0.08294571662171521,0.08847466507209206,0.1054606792920047,0.09993173084162785,0.005528948450376853
ltmp,4224607,21-558,U/N Reef (21-558),2024,7.54,0.06769401672425976,0.0555117081547127,0.06098169239351236,0.012182308569547058,0.0067123243307474,0.005469984238799658
mmp,4160180,16-006,Snapper Reef (16-006),2024,6.93,0.6942901257684129,0.04355522584500641,0.0490210470242195,0.6507348999234065,0.6452690787441934,0.005465821179213126
ltmp,4241315,12-056,Mantis Reef (12-056),2022,10.45,0.0142612944602823,0.00906157303971179,0.01463433675635741,0.00519972142057051,3.730422960751111e-4,0.004826679124495399
ltmp,4176749,15-099c,Agincourt Reefs (No 1) (15-099c),2024,6.97,0.147059946921269,0.07916847002944505,0.08378932837269912,0.06789147689182395,0.06327061854856988,0.0046208583432540695
manta,4067998,18-081,Knife Reef (18-081),2017,6.15,0.2602657014601872,0.05592751661505507,0.06042212100440097,0.2043381848451321,0.1998435804557862,0.004494604389345902
ltmp,4225567,20-351a,Pompey Reef (No 1) (20-351a),2024,8.63,0.07887795268029442,0.03463396682449821,0.03902638968751899,0.04424398585579621,0.03985156299277543,0.00439242286302078
manta,4068096,18-075,John Brewer Reef (18-075),2024,5.79,0.26174312602717364,0.01963070784745635,0.02400227925568401,0.2421124181797173,0.23774084677148963,0.004371571408227665
ltmp,4174485,16-015,Mackay Reef (16-015),2024,3.52,0.2553628149610071,0.03611775739946265,0.04039535696799263,0.21924505756154444,0.21496745799301448,0.004277599568529966
ltmp,3798884,16-064,Arlington Reef (16-064),2016,4.3500000000000005,0.15434554384697532,0.06946751745498217,0.07367332127216661,0.08487802639199316,0.08067222257480872,0.004205803817184439
mmp,4167071,17-053,Stingaree Reefs (17-053),2017,7.390000000000001,0.30941820249721835,0.18888073755385595,0.1927281138257148,0.1205374649433624,0.11669008867150354,0.0038473762718588544
manta,4067141,21-060,U/N Reef (21-060),2024,8.99,0.3164588026273036,0.080079795665895,0.08391979740628494,0.23637900696140857,0.23253900522101864,0.0038400017403899256
manta,4284425,23-055a,One Tree Island Reef (23-055a),2024,11.53,0.5107539897859481,0.4340950793790947,0.4377752811397627,0.07665891040685341,0.07297870864618539,0.0036802017606680226
manta,4066154,18-030,Kelso Reef (18-030),2020,5.4,0.13828472788312293,0.04806657812674753,0.0516921761324426,0.0902181497563754,0.08659255175068034,0.003625598005695063
ltmp,4233082,19-131a,U/N Reef (19-131a),2020,3.0700000000000003,0.00978824470658098,0.00615361442411994,0.00971278577094482,0.0036346302824610396,7.54589356361593e-5,0.0035591713468248803
manta,4285225,13-124,U/N Reef (13-124),2024,7.65,0.38359369951258,0.19741260252337575,0.20062703288999487,0.18618109698920424,0.18296666662258512,0.0032144303666191143
manta,4067753,20-104,U/N Reef (20-104),2024,5.5600000000000005,0.05916872045396826,0.01555914045135341,0.01868046973025003,0.04360958000261485,0.04048825072371823,0.00312132927889662
manta,4067477,17-024,Peart Reef (17-024),2024,5.4,0.16297797479960072,0.08843821297815417,0.09146237230273892,0.07453976182144655,0.0715156024968618,0.0030241593245847465
mmp,4137940,18-049e,Orpheus (Goolboddi) Island Reef (No 5) (18-049e),2024,5.37,0.23408438029879564,0.03870576945024869,0.04161025139785881,0.19537861084854696,0.19247412890093682,0.0029044819476101436
manta,4284566,21-550,U/N Reef (21-550),2024,7.85,0.3105929180461531,0.26514909889397276,0.2677204829278852,0.04544381915218032,0.04287243511826788,0.0025713840339124383
mmp,4157871,17-012,Normanby-Mabel Reef (17-012),2017,10.66,0.2364956261642967,0.13941547593731574,0.14193171987291092,0.09708015022698097,0.09456390629138578,0.002516243935595186
manta,4066466,20-348,U/N Reef (20-348),2024,8.39,0.3195506149689588,0.14602679984846842,0.14848943333759484,0.1735238151204904,0.17106118163136397,0.0024626334891264257
ltmp,4172980,14-123,Martin Reef (14-123),2016,7.87,0.48564340982446613,0.1492768921899107,0.15172233460150802,0.33636651763455544,0.3339210752229581,0.0024454424115973317
manta,4067798,20-287,Credlin Reefs (East) (20-287),2022,6.51,0.09457581203760122,0.01271216648344611,0.01510379046433633,0.08186364555415511,0.0794720215732649,0.0023916239808902118
ltmp,4223970,21-025,Penrith Reef (21-025),2017,4.87,0.7334236587648599,0.06065535474523772,0.06300387261775645,0.6727683040196222,0.6704197861471035,0.002348517872518663
ltmp,4230871,18-039,Dip Reef (18-039),2024,7.32,0.03803979731714051,0.02208529226251423,0.02429153488785887,0.01595450505462628,0.013748262429281639,0.0022062426253446413
ltmp,4233800,20-014,Hayman Island Reef (20-014),2024,5.8500000000000005,0.01011147474511542,0.00511504345917324,0.00728714138885774,0.00499643128594218,0.0028243333562576797,0.0021720979296845
mmp,4142991,18-001,Richards (Bedarra) Reef (18-001),2024,4.12,0.04904518159865426,0.02770854600437206,0.02985076586833479,0.0213366355942822,0.019194415730319467,0.002142219863962732
ltmp,4226931,18-081,Knife Reef (18-081),2024,6.54,0.09635988962854024,0.03604149398890529,0.03814000099581034,0.060318395639634946,0.0582198886327299,0.0020985070069050454
ltmp,4228046,19-209,Rebe Reef (19-209),2022,6.8500000000000005,0.06782948341534499,0.02003825442814707,0.02204893914954788,0.047791228987197926,0.04578054426579711,0.0020106847214008128
ltmp,4225911,18-065,Havannah Reef (18-065),2020,8.18,0.39380685419487826,0.02098616011110364,0.02295060486917503,0.3728206940837746,0.3708562493257032,0.001964444758071393
manta,4285515,14-116a,Lizard Island Reef (North West) (14-116a),2024,6.2700000000000005,0.4615802349862708,0.09314223707786864,0.0950465669559832,0.36843799790840215,0.36653366803028764,0.001904329878114508
manta,3988509,14-147a,South Direction Reef (North) (14-147a),2024,6.4,0.2226589198311119,0.19168435532107536,0.19356233559469396,0.03097456451003655,0.02909658423641795,0.0018779802736186013
