learner,predicted_change_pp,transition_id,programme_key,ReefID,ReefName,event_year,pre_cover,post_cover,cover_change_pp,sst_maxdhw,prop_acropora_pre,wqc_freqcc12,wqc_prior10_percentile,log_coastal_rain30,era5_wind_calm_fraction,cyc_maxHrs4mw,cot_idwmeanpertow,disturbance_text,severe_probability,tail_expert_change_pp,predicted_post_cover,error_pp,scheme,fold,absolute_error_pp
Aggressive extreme ensemble,-6.24827251286173,1981,manta,20-287,Credlin Reefs (East) (20-287),2024,0.35058914094719495,0.38713553798747635,3.6546397040281398,8.1309756097561,NA,0,0.45,5.8287453483906155,0.01098901098901099,14.2307692307692,0.0261,  ,0.22750049273533735,-11.778041296816633,0.28810641581857765,9.90291221688987,reef_blocked_5fold,4,9.90291221688987
Aggressive extreme ensemble,-14.877439490649492,2519,mmp,17-013,Round-Russell Reef (17-013),2024,0.5012536789705343,0.451458325642057,-4.979535332847728,6.45,0.22316517273714878,0.453094083003862,1,6.845372987621058,0.6153846153846154,0,0,"COTS seen this year and last, but also BrB disease | combination of flood, COTS,  minor bleachng  crown-of-thorns starfish | unknown at 2.0 m only",0.41078337822595845,-19.58463950146533,0.3524792840640394,9.897904157801763,reef_blocked_5fold,1,9.897904157801763
Aggressive extreme ensemble,-30.989299903752233,2218,manta,23-051,Wreck Island Reef (23-051),2024,0.5789666427911073,0.3644854086567966,-21.448123413431077,11.6295,0.9797631868153628,0.0454611954935722,0.9,5.301987044294902,0.03296703296703297,0,0,"Aerial bl 5 2024  DHW 11.64  coral bleaching, unknown storm",0.981558090975602,-31.036808648154807,0.269073643753585,9.541176490321156,reef_blocked_5fold,4,9.541176490321156
Aggressive extreme ensemble,-0.5726280372754258,2108,manta,21-562,Turner Reef (21-562),2024,0.1222713025202314,0.21160583760646007,8.933453508622867,9.17606060606061,0.08656072859991064,0.0455957978304078,1,5.293126064302306,0.03296703296703297,0,0.0207,DHW 8.65 to 9.27  coral bleaching,0.00553995620281469,-12.227130252023139,0.11654502214747714,9.506081545898292,reef_blocked_5fold,2,9.506081545898292
Aggressive extreme ensemble,-5.886577615042443,2001,manta,21-025,Penrith Reef (21-025),2024,0.363835749390651,0.21068224376707284,-15.315350562357816,8.17857142857143,0.02455375498852522,0,0.4,5.410388454901543,0.01098901098901099,4,0,  ,0.04137247737859204,-12.797945283549698,0.30496997324022657,-9.428772947315373,reef_blocked_5fold,5,9.428772947315373
Aggressive extreme ensemble,-9.807285181317106,57,ltmp,14-045,Sand Bank No 1 Reef (14-045),2024,0.42214123311310725,0.417675348608665,-0.4465884504442241,7.4095,0.35876184588002236,0.127170719473362,0.4,6.686516551675772,0.2087912087912088,0,0,  ,0.1680907535033381,-16.04553146074966,0.3240683812999362,9.360696730872881,reef_blocked_5fold,1,9.360696730872881
Aggressive extreme ensemble,-5.740864352541483,3043,mmp,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,0.22997353185720512,0.07922743179567049,-15.074610006153463,12.47,0.7075329405300055,0.742819670261997,0.3,5.455125136460727,0,0,0,further decline as a result of bleaching in 2024  coral bleaching,0.02226218061125596,-15.511523198340539,0.1725648883317903,-9.333745653611981,reef_blocked_5fold,3,9.333745653611981
Aggressive extreme ensemble,-8.417563206990922,367,ltmp,17-034,Feather Reef (17-034),2024,0.32859426121616114,0.33745297884752384,0.88587176313627,5.54063492063492,0.2671748848874488,0.14934229030886,0.9,6.866384143143859,0.12087912087912088,14,0,  ,0.22400573010511757,-14.784996962654064,0.24441862914625193,9.303434970127192,reef_blocked_5fold,5,9.303434970127192
Aggressive extreme ensemble,-33.49929619742416,2255,manta,23-081,Fairfax Islands Reef (23-081),2024,0.6500704629813622,0.40722478553053854,-24.284567745082363,11.2442553191489,0.8421051184060283,0.0818748265521753,0.9,5.784058808178996,0.01098901098901099,0,0.0202,Aerial bl 4 2024 DHW 11.46 2024  coral bleaching,0.9620026168263491,-33.540902803308,0.3150775010071206,9.214728452341795,reef_blocked_5fold,5,9.214728452341795
Aggressive extreme ensemble,-4.774421525329931,422,ltmp,18-034,Myrmidon Reef (18-034),2024,0.34901513726316913,0.3925255037375803,4.351036647441115,8.72885714285714,0.15606337630475434,0,0.5,6.416116296599418,0.04395604395604396,9,0,  ,0.03094321618092843,-13.114323105453018,0.3012709220098698,9.125458172771046,reef_blocked_5fold,3,9.125458172771046
