predictor,median,scheme,fold
histmDHW6,7.62,reef_blocked_5fold,3
yrsince6,4,reef_blocked_5fold,3
dhw10_load4,6.25,reef_blocked_5fold,3
dhw_novelty10,-2.13,reef_blocked_5fold,3
secc3m_p10,10.894667952453364,reef_blocked_5fold,3
cloudp_90,0.7452569,reef_blocked_5fold,3
wqc_freqcc12,0.134420545296818,reef_blocked_5fold,3
wqc_prior10_percentile,0.5,reef_blocked_5fold,3
log1p_cyc_maxHrs4mw,0,reef_blocked_5fold,3
log1p_cot_idwmeanpertow,0.00179838194137937,reef_blocked_5fold,3
log_coastal_rain30,6.02899934386659,reef_blocked_5fold,3
era5_wind_mean,5.682276725769043,reef_blocked_5fold,3
era5_wind_calm_fraction,0.14285714285714285,reef_blocked_5fold,3
era5_coastal_distance_km,53.02430121520352,reef_blocked_5fold,3
uq_coralsink1,0.526315808296204,reef_blocked_5fold,3
previous_change_available,1,reef_blocked_5fold,3
wqc_available,1,reef_blocked_5fold,3
cots_available,1,reef_blocked_5fold,3
mortality_environment_available,0,reef_blocked_5fold,3
weather_available,0,reef_blocked_5fold,3
pre_cover,0.2407698893036725,reef_blocked_5fold,4
available_space,0.7592301106963275,reef_blocked_5fold,4
interval_years,1.0102669404517455,reef_blocked_5fold,4
prior_change_pp,0.695253652910395,reef_blocked_5fold,4
prop_acropora_pre,0.2564604331895856,reef_blocked_5fold,4
acropora_cover_pre,0.05747448940393593,reef_blocked_5fold,4
depth,9,reef_blocked_5fold,4
sst_maxdhw,1,reef_blocked_5fold,4
histmDHW6,7.59,reef_blocked_5fold,4
yrsince6,4,reef_blocked_5fold,4
dhw10_load4,5.93,reef_blocked_5fold,4
dhw_novelty10,-1.79,reef_blocked_5fold,4
secc3m_p10,10.5406749790166,reef_blocked_5fold,4
cloudp_90,0.7158458,reef_blocked_5fold,4
wqc_freqcc12,0.101782184336432,reef_blocked_5fold,4
wqc_prior10_percentile,0.5,reef_blocked_5fold,4
log1p_cyc_maxHrs4mw,0,reef_blocked_5fold,4
log1p_cot_idwmeanpertow,0.00159872136369702,reef_blocked_5fold,4
log_coastal_rain30,5.985742071087043,reef_blocked_5fold,4
era5_wind_mean,5.747067451477051,reef_blocked_5fold,4
era5_wind_calm_fraction,0.1111111111111111,reef_blocked_5fold,4
era5_coastal_distance_km,53.443772818368494,reef_blocked_5fold,4
uq_coralsink1,0.473684221506119,reef_blocked_5fold,4
previous_change_available,1,reef_blocked_5fold,4
wqc_available,1,reef_blocked_5fold,4
cots_available,1,reef_blocked_5fold,4
mortality_environment_available,0,reef_blocked_5fold,4
weather_available,0,reef_blocked_5fold,4
pre_cover,0.24361265374911173,reef_blocked_5fold,5
