programme_key,source_observation_id,ReefID,ReefName,event_year,region_block,joint_reef_fold,ann_maxdhw,prop_acropora_pre,observed_pre_cover,log_coastal_rain30,era5_wind_mean,era5_wind_calm_fraction,era5_coastal_distance_km,DISTURBANCE_TYPE,description,observed_mortality,predicted_occurrence,predicted_positive_loss,predicted_mortality,learner,scheme,fold,residual,absolute_error,severe,nonsevere
mmp,4138916,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,Southern GBR,2,12.23,0.7664047472610901,0.1938601638901181,5.455125136460727,7.59745454788208,0,25.541262425425487,b,bleaching still evident at time of surveys,0.5143849272933385,0.7608786776154862,0.1922633930431086,0.14628911625250696,joint_compound_brt,leave_one_event_out,2024,0.3680958110408315,0.3680958110408315,TRUE,FALSE
mmp,4138931,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,Southern GBR,2,12.23,0.3533715797147019,0.12330852251969322,5.455125136460727,7.59745454788208,0,25.541262425425487,b,further decline as a result of bleaching in 2024,0.28856582591991914,0.5356016052097086,0.12795724940702674,0.06853410818062255,joint_compound_brt,leave_one_event_out,2024,0.22003171773929656,0.22003171773929656,TRUE,FALSE
mmp,4138932,23-010,Middle (Ba-la-ba) Island Reef (23-010),2024,Southern GBR,2,12.23,0.48147352484178185,0.2096906034389076,5.455125136460727,7.59745454788208,0,25.541262425425487,b,bleaching still evident at time of surveys,0.41195017565191666,0.663988149902196,0.13849312718034093,0.09195779529064411,joint_compound_brt,leave_one_event_out,2024,0.31999238036127253,0.31999238036127253,TRUE,FALSE
mmp,4155453,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,2,12.47,0.7075329405300055,0.22997353185720512,5.455125136460727,7.59745454788208,0,25.541262425425487,b,further decline as a result of bleaching in 2024,0.6554932597858075,0.5314220403271834,0.17637744738850863,0.0937308629589017,joint_compound_brt,leave_one_event_out,2024,0.5617623968269059,0.5617623968269059,TRUE,FALSE
mmp,4155454,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,2,12.47,0.8806702661451502,0.49687349743235776,5.455125136460727,7.59745454788208,0,25.541262425425487,b,bleaching still evident at time of surveys,0.5371587878089377,0.5719719339192966,0.20144089928772105,0.11521854073604004,joint_compound_brt,leave_one_event_out,2024,0.4219402470728976,0.4219402470728976,TRUE,FALSE
mmp,4155473,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,2,12.47,0.7596478225945502,0.13594107109759657,5.455125136460727,7.59745454788208,0,25.541262425425487,b,further decline as a result of bleaching in 2024,0.5474064906348262,0.3934093952776576,0.1209076155945366,0.04756619193551013,joint_compound_brt,leave_one_event_out,2024,0.499840298699316,0.499840298699316,TRUE,FALSE
mmp,4155474,23-016,Humpy (Bur-ye-Bur-ye) Reef (23-016),2024,Southern GBR,2,12.47,0.901484765985602,0.27456883183503955,5.455125136460727,7.59745454788208,0,25.541262425425487,b,bleaching still evident at time of surveys,0.5048925612238839,0.4657749689121564,0.14097002362334932,0.06566030837071149,joint_compound_brt,leave_one_event_out,2024,0.43923225285317247,0.43923225285317247,TRUE,FALSE
mmp,4149293,23-017,Pelican Island Reef (23-017),2024,Southern GBR,3,13.26,0.15284497105653488,0.04020428702893302,5.455125136460727,5.654933929443359,0.0989010989010989,0,NA,NA,0,0.21526109427480647,0.13527953809191093,0.02912042140265511,joint_compound_brt,leave_one_event_out,2024,-0.02912042140265511,0.02912042140265511,FALSE,TRUE
mmp,4149294,23-017,Pelican Island Reef (23-017),2024,Southern GBR,3,13.26,0.13438736512389293,0.06792091059527568,5.455125136460727,5.654933929443359,0.0989010989010989,0,b,bleaching still evident at time of surveys,0.40807202558722055,0.2102017464769997,0.13527953809191093,0.02843599516952148,joint_compound_brt,leave_one_event_out,2024,0.37963603041769906,0.37963603041769906,TRUE,FALSE
mmp,4149312,23-017,Pelican Island Reef (23-017),2024,Southern GBR,3,13.26,0.00450898632981563,0.18529755917949564,5.455125136460727,5.654933929443359,0.0989010989010989,0,NA,NA,0.02301944253341331,0.18819258939831135,0.11056473252951608,0.02080746331086134,joint_compound_brt,leave_one_event_out,2024,0.00221197922255197,0.00221197922255197,FALSE,TRUE
